Date,Apple,Amazon,DBS
4/10/2019,50.154999,92.366501,26.98
4/11/2019,49.737499,92.203499,26.82
4/12/2019,49.717499,92.153,27
4/15/2019,49.807499,92.2435,26.969999
4/16/2019,49.8125,93.152,26.93
4/17/2019,50.782501,93.240997,26.98
4/18/2019,50.965,93.084503,27.01
4/22/2019,51.1325,94.365501,27.16
4/23/2019,51.869999,96.188499,27.49
4/24/2019,51.790001,95.087502,27.4
4/25/2019,51.32,95.112503,27.450001
4/26/2019,51.075001,97.531502,27.42
4/29/2019,51.1525,96.921501,27.370001
4/30/2019,50.1675,96.325996,27.25
5/1/2019,52.630001,95.575996,27.41
5/2/2019,52.287498,95.041,28.4
5/3/2019,52.9375,98.123001,28.25
5/6/2019,52.119999,97.527496,27.6
5/7/2019,50.715,96.050003,27.73
5/8/2019,50.724998,95.888496,26.530001
5/9/2019,50.18,94.9935,26.77
5/10/2019,49.294998,94.499001,26.58
5/13/2019,46.43,91.134003,26.6
5/14/2019,47.165001,92.005997,26.549999
5/15/2019,47.73,93.557503,26
5/16/2019,47.52,95.378502,26.1
5/17/2019,47.25,93.449997,26.290001
5/20/2019,45.772499,92.948502,26.58
5/21/2019,46.650002,92.875999,25.889999
5/22/2019,45.695,92.984001,25.74
5/23/2019,44.915001,90.774002,25.43
5/24/2019,44.7425,91.164001,25.190001
5/28/2019,44.557499,91.821503,25.200001
5/29/2019,44.345001,90.959503,25.059999
5/30/2019,44.575001,90.816002,24.959999
5/31/2019,43.767502,88.753502,24.85
6/3/2019,43.325001,84.634499,24.6
6/4/2019,44.91,86.477997,24.290001
6/5/2019,45.634998,86.925003,24.059999
6/6/2019,46.305,87.718002,24.27
6/7/2019,47.537498,90.2015,24.25
6/10/2019,48.145,93.031502,24.389999
6/11/2019,48.702499,93.184998,24.52
6/12/2019,48.547501,92.765999,24.68
6/13/2019,48.537498,93.514999,24.700001
6/14/2019,48.185001,93.483498,24.68
6/17/2019,48.4725,94.301498,24.809999
6/18/2019,49.612499,95.068497,24.67
6/19/2019,49.467499,95.439499,24.799999
6/20/2019,49.865002,95.9095,25.43
6/21/2019,49.695,95.565002,25.82
6/24/2019,49.645,95.695,25.92
6/25/2019,48.892502,93.913498,25.77
6/26/2019,49.950001,94.891502,25.6
6/27/2019,49.935001,95.213997,25.48
6/28/2019,49.48,94.681503,25.83
7/1/2019,50.387501,96.109497,25.959999
7/2/2019,50.682499,96.7155,26.6
7/3/2019,51.102501,96.949997,26.5
7/5/2019,51.057499,97.1455,26.15
7/8/2019,50.005001,97.615997,26.059999
7/9/2019,50.310001,99.415001,25.629999
7/10/2019,50.807499,100.870499,25.370001
7/11/2019,50.4375,100.053497,25.32
7/12/2019,50.825001,100.550003,25.4
7/15/2019,51.302502,101.0495,25.610001
7/16/2019,51.125,100.495003,25.780001
7/17/2019,50.837502,99.601501,25.9
7/18/2019,51.415001,98.894997,25.99
7/19/2019,50.647499,98.225998,26.26
7/22/2019,51.805,99.281502,26.309999
7/23/2019,52.209999,99.724503,26.620001
7/24/2019,52.1675,100.040497,26.559999
7/25/2019,51.755001,98.691002,26.629999
7/26/2019,51.935001,97.152496,26.65
7/29/2019,52.419998,95.622498,26.91
7/30/2019,52.195,94.926498,26.879999
7/31/2019,53.259998,93.338997,26.639999
8/1/2019,52.107498,92.765999,26.49
8/2/2019,51.005001,91.162003,26.41
8/5/2019,48.334999,88.2565,26.51
8/6/2019,49.25,89.391502,26.25
8/7/2019,49.759998,89.669998,25.290001
8/8/2019,50.857498,91.644501,24.879999
8/9/2019,50.247501,90.378998,25.08
8/12/2019,50.119999,89.246002,24.940001
8/13/2019,52.2425,91.217003,24.809999
8/14/2019,50.6875,88.148003,24.99
8/15/2019,50.435001,88.806,24.700001
8/16/2019,51.625,89.628502,24.700001
8/19/2019,52.587502,90.806,24.75
8/20/2019,52.59,90.069,24.709999
8/21/2019,53.16,91.177002,24.58
8/22/2019,53.115002,90.233002,24.59
8/23/2019,50.66,87.481003,24.389999
8/26/2019,51.622501,88.443497,24.09
8/27/2019,51.040001,88.091499,24.17
8/28/2019,51.3825,88.212502,24.02
8/29/2019,52.252499,89.32,24.24
8/30/2019,52.185001,88.814499,24.530001
9/3/2019,51.424999,89.491997,24.35
9/4/2019,52.297501,90.030998,24.35
9/5/2019,53.32,92.036003,24.540001
9/6/2019,53.314999,91.675499,24.629999
9/9/2019,53.5425,91.567497,24.76
9/10/2019,54.174999,91.027496,24.77
9/11/2019,55.897499,91.149498,24.950001
